"Código","Escala_Cog.","Escala_Mot.","Escala_Dis.","Edad_Mes","Región","Área","Modalidad","Departamento","Quintil","Inst_Mat.","Inst_Pat.","Inst_Pre_N3"
3255,77,28,24,66,"Costa","Urbana","Jardín","Lima Met.","4","Superior técnico incompleto","Superior técnico completo","No"
1419,120,31,31,61,"Sierra","Urbana","Jardín","Cusco","5","Secundaria completo","Superior técnico completo","Sí"
1285,63,20,22,62,"Costa","Urbana","Cuna-Jardín","Piura","4","Secundaria completo","Secundaria completo","No"
388,57,20,20,63,"Costa","Urbana","Jardín","Piura","3","Superior universitario completo","Secundaria completo","Sí"
2244,95,26,21,63,"Sierra","Urbana","Jardín","Piura","1","Superior universitario completo","Superior técnico completo","Sí"
1329,56,16,20,63,"Costa","Urbana","Cuna-Jardín","Piura","4","Superior técnico incompleto","Superior técnico completo","No"
1197,97,31,24,63,"Costa","Urbana","Jardín","Piura","4","Primaria incompleto","Secundaria completo","No"
1401,142,35,32,61,"Sierra","Urbana","Jardín","Cusco","5","Superior universitario completo","Superior técnico completo","Sí"
3080,104,35,21,64,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Superior universitario incompleto","Sí"
2821,77,22,23,64,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
2569,136,30,29,62,"Selva","Rural","Jardín","Loreto","4","Primaria completo","Primaria completo","No"
340,86,20,24,63,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","Sí"
1539,58,26,21,62,"Selva","Urbana","Jardín","Loreto","4","Secundaria completo","Secundaria completo","No"
1084,91,36,23,64,"Sierra","Urbana","Jardín","Piura","1","Primaria completo","Ninguno","No"
1603,87,26,23,62,"Selva","Rural","Jardín","Loreto","5","Secundaria completo","Secundaria completo","NS/NR"
3122,81,18,20,65,"Costa","Urbana","Jardín","Lima Met.","4","Superior técnico completo","Superior técnico incompleto","NS/NR"
2223,107,30,22,62,"Sierra","Urbana","Jardín","Piura","1","Primaria completo","Superior universitario completo","Sí"
3215,113,33,29,64,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
3068,99,35,27,64,"Costa","Urbana","Jardín","Lima Met.","4","Superior técnico completo","Superior técnico incompleto","Sí"
323,68,20,19,61,"Sierra","Rural","Jardín","Cusco","2","Secundaria completo","Superior técnico completo","Sí"
1811,96,25,25,61,"Selva","Rural","Jardín","Cusco","3","Secundaria completo","Secundaria incompleto","No"
1408,83,27,28,61,"Selva","Urbana","Jardín","Loreto","4","Secundaria completo","Superior técnico completo","No"
2085,111,28,27,62,"Sierra","Urbana","Jardín","Piura","1","Superior técnico completo","Secundaria completo","No"
2104,74,31,25,61,"Selva","Rural","Jardín","Loreto","1","Secundaria incompleto","Secundaria incompleto","No"
778,85,22,22,62,"Selva","Urbana","Jardín","Loreto","3","Secundaria completo","Secundaria completo","No"
2287,97,24,28,62,"Costa","Urbana","Jardín","Piura","5","Superior universitario completo","Superior universitario incompleto","Sí"
873,61,31,27,61,"Selva","Rural","Jardín","Loreto","4","Secundaria incompleto","Secundaria incompleto","Sí"
2279,123,25,26,62,"Costa","Urbana","Jardín","Piura","5","Primaria completo","Superior técnico completo","Sí"
2127,92,25,27,62,"Costa","Urbana","Cuna-Jardín","Piura","4","Superior universitario completo","Superior técnico completo","No"
1706,90,18,21,60,"Selva","Urbana","Jardín","Cusco","3","Secundaria completo","Secundaria completo","Sí"
316,122,34,31,61,"Sierra","Urbana","Jardín","Cusco","5","Superior universitario completo","Superior universitario completo","Sí"
367,79,23,24,62,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria incompleto","No"
9,94,23,25,63,"Sierra","Urbana","Jardín","Piura","1","Superior universitario incompleto","Superior universitario incompleto","Sí"
2082,71,30,29,61,"Selva","Rural","Jardín","Loreto","1","Secundaria completo","Secundaria completo","Sí"
2466,91,23,27,62,"Sierra","Urbana","Jardín","Piura","1","Secundaria incompleto","Primaria completo","Sí"
3387,92,28,27,64,"Costa","Urbana","Jardín","Lima Met.","4","Superior técnico completo","Secundaria completo","NS/NR"
19,64,21,20,62,"Sierra","Urbana","Jardín","Piura","1","Superior técnico completo","Secundaria completo","No"
370,152,22,24,63,"Sierra","Urbana","Jardín","Piura","1","Secundaria completo","Secundaria completo","Sí"
405,60,23,23,62,"Costa","Rural","Jardín","Piura","3","Secundaria incompleto","Secundaria incompleto","Sí"
1601,142,30,30,61,"Selva","Rural","Jardín","Loreto","5","Secundaria incompleto","Superior universitario completo","NS/NR"
2816,57,13,22,64,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria incompleto","Secundaria completo","No"
57,39,20,18,60,"Selva","Rural","Jardín","Cusco","4","Primaria completo","Primaria completo","No"
1776,65,29,20,62,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
2501,97,27,23,62,"Costa","Urbana","Jardín","Piura","1","Primaria completo","Secundaria completo","No"
951,80,25,33,64,"Costa","Urbana","Jardín","Piura","4","Primaria completo","Secundaria completo","No"
683,85,28,28,61,"Selva","Urbana","Jardín","Loreto","4","Secundaria completo","Secundaria completo","No"
856,110,33,29,61,"Selva","Urbana","Jardín","Loreto","4","Secundaria completo","Secundaria incompleto","Sí"
2182,93,25,23,62,"Sierra","Urbana","Jardín","Piura","1","Superior universitario incompleto","Superior universitario completo","Sí"
1242,52,15,11,65,"Selva","Rural","Jardín","Loreto","4","Primaria completo","Secundaria incompleto","Sí"
407,57,23,21,62,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
1804,73,25,23,52,"Selva","Rural","Jardín","Cusco","3","Secundaria completo","Secundaria incompleto","Sí"
2078,77,27,24,60,"Sierra","Rural","Jardín","Cusco","2","Primaria completo","Primaria completo","NS/NR"
1278,72,16,22,62,"Costa","Urbana","Cuna-Jardín","Piura","4","Secundaria incompleto","Secundaria completo","Sí"
3443,139,25,31,64,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria incompleto","Superior técnico completo","No"
2291,113,28,31,62,"Costa","Urbana","Jardín","Piura","5","Superior técnico incompleto","Superior universitario incompleto","Sí"
2571,134,23,31,61,"Selva","Rural","Jardín","Loreto","4","Primaria completo","Primaria completo","No"
3469,93,25,23,64,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
746,75,22,19,60,"Sierra","Urbana","Jardín","Cusco","5","Superior universitario completo","Superior universitario completo","No"
1673,56,22,25,61,"Selva","Urbana","Jardín","Loreto","4","Primaria completo","Superior técnico completo","NS/NR"
788,74,20,23,60,"Sierra","Urbana","Cuna-Jardín","Cusco","2","Superior universitario completo","Superior universitario completo","No"
1557,81,24,24,61,"Selva","Urbana","Jardín","Loreto","4","Secundaria incompleto","Secundaria completo","No"
2442,116,30,25,62,"Costa","Urbana","Jardín","Piura","3","Primaria completo","Superior técnico incompleto","No"
60,55,23,26,49,"Selva","Rural","Jardín","Cusco","4","Secundaria completo","Secundaria completo","No"
1616,74,18,19,62,"Sierra","Urbana","Jardín","Piura","1","Secundaria completo","Secundaria completo","No"
697,72,30,25,61,"Selva","Urbana","Jardín","Loreto","4","Superior técnico completo","Secundaria completo","No"
1602,113,29,30,62,"Selva","Rural","Jardín","Loreto","5","Secundaria completo","Secundaria completo","NS/NR"
3198,98,31,26,63,"Costa","Urbana","Jardín","Lima Met.","4","Primaria completo","Primaria completo","No"
1696,93,17,17,60,"Selva","Urbana","Jardín","Cusco","3","Primaria completo","Primaria completo","NS/NR"
1859,113,28,30,64,"Selva","Urbana","Jardín","Loreto","3","Primaria completo","Primaria completo","Sí"
554,137,36,34,60,"Sierra","Rural","Jardín","Cusco","3","Superior universitario incompleto","Superior técnico completo","Sí"
1874,47,13,17,62,"Costa","Urbana","Cuna-Jardín","Piura","4","Superior técnico completo","Secundaria completo","No"
2820,83,19,25,63,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
2532,88,32,25,62,"Sierra","Rural","Jardín","Piura","1","Secundaria incompleto","Primaria incompleto","NS/NR"
2071,78,27,24,60,"Sierra","Rural","Jardín","Cusco","2","Primaria completo","Primaria completo","NS/NR"
2827,39,20,20,63,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria incompleto","Secundaria completo","No"
676,86,28,25,61,"Selva","Urbana","Jardín","Loreto","4","Superior universitario completo","Superior universitario completo","No"
1831,79,26,18,61,"Costa","Urbana","Cuna-Jardín","Piura","4","Superior universitario incompleto","Superior técnico completo","No"
979,94,21,22,61,"Selva","Urbana","Jardín","Loreto","3","Secundaria completo","Superior técnico completo","No"
1406,79,27,28,61,"Selva","Urbana","Jardín","Loreto","4","Secundaria incompleto","Secundaria completo","No"
718,74,30,23,60,"Selva","Urbana","Jardín","Loreto","4","Secundaria incompleto","Secundaria incompleto","NS/NR"
1201,81,23,18,60,"Sierra","Urbana","Jardín","Cusco","5","Superior universitario completo","Superior universitario incompleto","Sí"
55,51,23,24,60,"Selva","Rural","Jardín","Cusco","4","Secundaria completo","Secundaria completo","No"
791,90,23,25,60,"Sierra","Urbana","Cuna-Jardín","Cusco","2","Superior universitario completo","Secundaria incompleto","No"
155,82,21,26,62,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
2390,104,35,30,61,"Costa","Urbana","Jardín","Piura","5","Superior universitario completo","Superior universitario completo","No"
3412,128,32,32,63,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","Sí"
3466,100,29,25,63,"Costa","Urbana","Jardín","Lima Met.","4","Superior universitario completo","Superior técnico completo","No"
319,53,22,18,60,"Sierra","Rural","Jardín","Cusco","2","Ninguno","Secundaria incompleto","Sí"
1767,110,29,28,62,"Costa","Urbana","Jardín","Piura","3","Primaria completo","Primaria completo","No"
165,81,21,26,61,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
1887,119,34,28,67,"Costa","Urbana","Cuna-Jardín","Piura","4","Secundaria completo","Secundaria completo","NS/NR"
41,96,28,29,61,"Sierra","Urbana","Jardín","Piura","1","Superior universitario completo","Superior técnico completo","No"
974,108,26,27,61,"Selva","Urbana","Jardín","Loreto","3","Superior universitario incompleto","Superior universitario completo","No"
63,52,23,20,61,"Selva","Rural","Jardín","Cusco","4","Secundaria completo","Secundaria completo","No"
1838,133,32,29,60,"Selva","Rural","Jardín","Loreto","3","Secundaria completo","Secundaria completo","No"
877,68,31,26,60,"Selva","Rural","Jardín","Loreto","4","Secundaria incompleto","Secundaria incompleto","Sí"
3175,92,30,25,58,"Costa","Urbana","Jardín","Lima Met.","4","Superior universitario incompleto","Superior universitario incompleto","No"
2090,88,31,30,60,"Selva","Rural","Jardín","Loreto","1","Secundaria incompleto","Secundaria incompleto","Sí"
1203,133,29,25,60,"Sierra","Urbana","Jardín","Cusco","5","Superior universitario completo","Superior universitario completo","Sí"
1966,79,20,21,63,"Costa","Urbana","Cuna-Jardín","Piura","4","Secundaria completo","Superior técnico completo","No"
1321,63,20,22,61,"Costa","Urbana","Cuna-Jardín","Piura","4","Secundaria incompleto","Secundaria completo","No"
366,77,24,23,61,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
2818,83,23,23,64,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Superior técnico completo","No"
