"Código","Departamento","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
228,"Piura",79,21,44,20
413,"Loreto",108,28,57,21
3468,"Lima Metropolitana",95,24,60,26
836,"Cusco",83,31,65,23
1139,"Cusco",51,28,49,21
936,"Cusco",83,22,64,24
567,"Cusco",87,25,57,27
989,"Piura",96,30,72,29
2554,"Piura",117,30,66,28
2562,"Piura",136,34,69,33
92,"Cusco",147,36,67,30
1850,"Loreto",143,36,76,28
1382,"Cusco",84,23,55,21
3274,"Lima Metropolitana",108,32,55,23
2253,"Piura",109,31,63,35
281,"Piura",78,25,60,24
2414,"Piura",122,35,67,33
257,"Piura",119,26,61,30
2372,"Piura",126,34,77,35
363,"Cusco",78,18,46,19
3150,"Lima Metropolitana",86,35,64,31
983,"Piura",69,25,50,23
2268,"Piura",99,31,61,29
982,"Piura",72,26,49,24
2339,"Piura",150,36,72,30
2526,"Piura",71,27,58,23
721,"Loreto",115,33,68,28
2605,"Piura",105,21,58,31
3428,"Lima Metropolitana",93,24,56,21
1351,"Cusco",72,17,52,19
3359,"Lima Metropolitana",123,27,47,25
2267,"Piura",110,31,63,30
2254,"Piura",122,36,64,36
1015,"Cusco",101,26,66,30
705,"Loreto",128,32,70,32
1306,"Loreto",108,29,62,33
1350,"Cusco",97,26,59,27
820,"Cusco",114,32,68,24
2596,"Piura",63,29,50,18
14,"Piura",113,24,58,27
1030,"Cusco",92,24,63,23
921,"Cusco",114,25,76,25
3259,"Lima Metropolitana",136,35,66,28
1184,"Loreto",69,22,45,20
2399,"Piura",110,32,66,32
1310,"Loreto",79,29,65,32
1960,"Loreto",112,33,72,29
1806,"Cusco",118,28,61,25
1856,"Loreto",115,31,73,26
3163,"Lima Metropolitana",112,34,64,32
3013,"Lima Metropolitana",140,36,67,32
626,"Piura",72,20,55,23
2518,"Piura",109,30,64,21
3184,"Lima Metropolitana",86,30,54,26
1371,"Piura",123,33,65,31
3437,"Lima Metropolitana",109,32,62,25
1179,"Loreto",87,18,51,23
1038,"Piura",79,22,69,28
2377,"Piura",121,32,70,34
3133,"Lima Metropolitana",112,35,66,30
3167,"Lima Metropolitana",78,32,61,21
831,"Cusco",94,26,49,21
391,"Piura",96,22,60,23
1359,"Piura",112,32,62,30
2391,"Piura",133,33,67,32
1220,"Cusco",72,30,54,21
1365,"Piura",94,29,66,29
2259,"Piura",81,24,59,24
576,"Cusco",76,21,50,23
2358,"Piura",118,32,77,35
997,"Cusco",63,22,49,17
1789,"Loreto",111,27,73,27
1021,"Cusco",79,25,62,23
1086,"Piura",98,35,67,21
1750,"Piura",131,36,75,31
2602,"Piura",98,31,66,24
1854,"Loreto",122,30,73,29
2413,"Piura",102,31,69,28
834,"Cusco",105,32,64,26
1013,"Cusco",95,30,69,28
1866,"Piura",133,36,77,31
1782,"Loreto",93,32,70,26
1300,"Loreto",148,35,68,33
3285,"Lima Metropolitana",108,30,59,22
2371,"Piura",110,32,75,35
