Código,Departamento,Escala_Cog.,Escala_Mot.,Escala_Dis.
2061,Piura,99,37,36
1254,Cusco,90,24,25
1429,Cusco,63,23,21
248,Loreto,84,26,24
1336,Loreto,45,16,26
2423,Piura,71,22,21
133,Cusco,52,19,23
3038,Lima Metropolitana,66,29,22
3214,Lima Metropolitana,108,33,34
2212,Piura,89,33,28
3001,Lima Metropolitana,74,23,24
1141,Piura,42,19,20
275,Cusco,64,28,25
2853,Lima Metropolitana,116,38,32
115,Cusco,56,18,24
1155,Piura,63,24,18
895,Cusco,40,9,14
1271,Cusco,55,18,18
2019,Loreto,92,37,28
1952,Loreto,54,25,24
2476,Piura,50,28,23
282,Cusco,65,26,22
893,Cusco,34,8,6
2309,Piura,93,37,32
204,Cusco,85,31,30
1815,Cusco,74,28,28
1926,Piura,48,24,20
1997,Cusco,85,34,28
1267,Cusco,53,19,18
2213,Piura,73,31,24
3018,Lima Metropolitana,64,27,29
3143,Lima Metropolitana,97,37,31
888,Cusco,67,26,25
1431,Cusco,64,16,19
1331,Loreto,61,20,24
1256,Cusco,68,30,23
1063,Piura,53,27,22
2321,Piura,87,37,35
180,Cusco,45,26,20
434,Loreto,101,39,29
902,Cusco,58,22,14
302,Piura,23,10,6
1801,Cusco,64,31,30
3304,Lima Metropolitana,97,36,33
145,Cusco,58,24,30
2422,Piura,71,18,17
138,Cusco,45,22,30
652,Loreto,96,33,29
3149,Lima Metropolitana,86,33,33
2317,Piura,44,31,24
2494,Piura,79,25,23
110,Piura,34,24,22
2018,Loreto,92,38,27
2498,Piura,67,22,22
901,Cusco,74,27,24
183,Cusco,85,31,25
661,Loreto,70,25,26
1814,Cusco,72,30,28
1790,Piura,107,38,31
2483,Piura,63,28,20
1819,Loreto,50,28,27
2322,Piura,70,26,30
2152,Piura,44,23,22
1728,Piura,57,27,21
205,Cusco,59,27,23
121,Cusco,59,21,21
1051,Loreto,73,31,29
2210,Piura,85,35,28
1736,Piura,65,28,21
513,Cusco,48,17,20
2047,Piura,73,38,23
2855,Lima Metropolitana,129,40,36
200,Cusco,97,38,30
1980,Loreto,52,25,24
2032,Loreto,85,28,27
444,Piura,38,13,14
520,Cusco,32,16,18
1432,Cusco,56,23,20
1433,Cusco,55,19,22
2305,Piura,101,31,34
2577,Cusco,38,19,12
2324,Piura,44,32,24
2320,Piura,111,38,35
278,Cusco,41,20,15
2542,Piura,84,31,22
483,Piura,45,17,30
2613,Piura,60,21,29
1740,Piura,56,20,22
2858,Lima Metropolitana,118,31,33
2076,Loreto,25,14,6
3151,Lima Metropolitana,84,31,31
1977,Loreto,46,28,23
2031,Loreto,75,27,22
493,Piura,72,16,31
1192,Cusco,56,24,21
3447,Lima Metropolitana,119,40,36
1921,Piura,51,23,21
2997,Lima Metropolitana,67,28,26
1984,Cusco,67,28,21
1685,Cusco,67,32,36
894,Cusco,63,24,24
2481,Piura,53,23,23
1683,Cusco,84,34,36
1924,Piura,46,20,19
3240,Lima Metropolitana,95,42,30
1269,Cusco,67,29,23
193,Cusco,82,44,25
2480,Piura,39,17,13
1561,Loreto,65,23,22
1172,Loreto,48,29,28
1333,Loreto,37,15,22
592,Cusco,50,18,18
2425,Piura,76,28,22
116,Cusco,58,18,24
1161,Piura,62,24,18
3153,Lima Metropolitana,110,27,36
3501,Lima Metropolitana,83,25,30
487,Piura,47,30,29
2011,Loreto,78,32,28
1579,Loreto,60,19,21
3103,Lima Metropolitana,76,32,25
1130,Cusco,36,24,17
1681,Cusco,74,30,36
1428,Cusco,68,21,23
1502,Cusco,85,25,23
175,Cusco,32,13,15
210,Loreto,71,27,22
3500,Lima Metropolitana,88,23,36
2553,Piura,81,29,24
2421,Piura,43,19,17
441,Piura,33,13,16
209,Loreto,71,23,22
1569,Loreto,58,21,22
663,Loreto,73,27,34
2482,Piura,53,19,23
1824,Loreto,58,27,31
144,Cusco,62,18,31
1718,Piura,52,20,16
3393,Lima Metropolitana,72,21,27
276,Cusco,60,26,22
1268,Cusco,87,34,26
1132,Cusco,40,27,28
2552,Piura,80,31,23
1905,Cusco,70,31,31
1687,Cusco,66,34,36
2023,Loreto,48,21,29
2299,Piura,117,45,36
202,Cusco,70,16,23
2034,Loreto,52,21,19
2996,Lima Metropolitana,61,31,24
1501,Cusco,61,24,23
889,Cusco,44,19,15
