Código,Escala_Cog.,Escala_Mot.,Escala_Dis.,Edad_Mes,Región,Modalidad,Departamento,Quintil,Inst_Mat.,Inst_Mat_N
2691,121,28,30,63,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2692,131,34,35,64,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2693,96,22,28,58,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2694,112,28,27,58,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2695,117,30,30,62,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2696,139,23,32,62,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2697,88,26,23,54,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2700,130,28,35,64,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2702,116,26,27,71,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2703,105,33,31,61,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2706,107,29,32,53,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2708,128,32,34,63,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2711,123,25,31,54,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2712,122,32,33,61,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2714,136,29,33,70,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2715,103,24,24,56,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2718,114,31,25,63,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2720,125,33,33,59,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2721,83,22,19,61,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2724,120,29,25,53,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2725,110,31,28,61,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2730,121,29,27,64,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2734,114,28,29,54,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2735,140,31,34,62,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2740,101,21,23,54,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2741,136,35,33,58,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2742,111,30,27,55,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2744,142,34,32,59,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2745,131,28,33,58,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2747,98,24,27,47,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2750,132,33,36,57,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2752,111,31,28,59,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2755,95,23,27,55,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2757,86,20,18,55,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2759,76,20,18,54,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2764,117,30,30,55,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2765,120,32,30,59,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2767,143,32,29,71,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2774,115,27,32,63,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2775,78,28,27,58,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2777,114,29,28,62,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2778,97,25,28,58,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2780,120,27,30,60,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
2783,110,28,31,56,Costa,Cuna-Jardín,Lima Met.,5,"Posgrado (maestría, doctorado)",11
2785,125,25,31,64,Costa,Cuna-Jardín,Lima Met.,5,Superior universitario completo,10
3252,107,33,25,69,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3258,87,30,22,71,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3284,93,28,23,68,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3290,73,24,19,65,Costa,Jardín,Lima Met.,4,Secundaria completo,6
1072,146,36,34,70,Selva,Jardín,Loreto,5,Secundaria completo,6
939,143,30,30,58,Sierra,Jardín,Cusco,1,Secundaria completo,6
940,145,31,30,57,Sierra,Jardín,Cusco,1,Secundaria completo,6
3330,98,31,22,64,Costa,Jardín,Lima Met.,4,Superior técnico completo,8
3446,86,27,19,64,Costa,Jardín,Lima Met.,4,Secundaria completo,6
2115,50,22,13,65,Selva,Jardín,Loreto,1,Secundaria incompleto,5
2117,59,23,24,64,Selva,Jardín,Loreto,1,Secundaria incompleto,5
534,49,14,19,57,Sierra,Jardín,Cusco,3,Superior universitario completo,10
540,71,23,23,57,Sierra,Jardín,Cusco,3,Secundaria completo,6
287,66,23,28,73,Selva,Jardín,Cusco,4,Superior técnico incompleto,7
288,83,25,28,66,Selva,Jardín,Cusco,4,Superior técnico incompleto,7
1095,57,20,15,72,Sierra,Cuna-Jardín,Cusco,2,Superior universitario completo,10
217,91,27,26,62,Costa,Jardín,Piura,5,Secundaria completo,6
218,69,21,17,71,Costa,Jardín,Piura,5,Superior universitario completo,10
1094,55,18,13,72,Sierra,Cuna-Jardín,Cusco,2,Superior universitario completo,10
1101,55,18,19,71,Sierra,Cuna-Jardín,Cusco,2,Superior técnico incompleto,7
1104,51,18,16,71,Sierra,Cuna-Jardín,Cusco,2,Secundaria completo,6
1098,55,18,13,70,Sierra,Cuna-Jardín,Cusco,2,Secundaria completo,6
1096,71,19,18,69,Sierra,Cuna-Jardín,Cusco,2,Superior técnico incompleto,7
1092,65,21,15,69,Sierra,Cuna-Jardín,Cusco,2,Superior técnico incompleto,7
103,48,16,16,68,Sierra,Cuna-Jardín,Cusco,2,Secundaria completo,6
3367,145,36,31,72,Costa,Jardín,Lima Met.,4,Superior universitario completo,10
3369,130,33,32,72,Costa,Jardín,Lima Met.,4,Secundaria completo,6
1099,52,18,15,68,Sierra,Cuna-Jardín,Cusco,2,Secundaria completo,6
108,40,14,13,69,Sierra,Cuna-Jardín,Cusco,2,Superior universitario completo,10
1103,48,18,11,69,Sierra,Cuna-Jardín,Cusco,2,Superior universitario completo,10
104,60,13,15,66,Sierra,Cuna-Jardín,Cusco,2,Superior universitario completo,10
1093,56,15,16,66,Sierra,Cuna-Jardín,Cusco,2,Secundaria completo,6
106,45,13,13,67,Sierra,Cuna-Jardín,Cusco,2,Superior universitario incompleto,9
1380,98,27,25,61,Selva,Jardín,Cusco,3,Superior universitario incompleto,9
1381,98,26,25,63,Selva,Jardín,Cusco,3,Superior técnico completo,8
3171,94,28,21,71,Costa,Jardín,Lima Met.,4,Superior técnico completo,8
3173,111,31,24,65,Costa,Jardín,Lima Met.,4,Superior técnico completo,8
