"Código","Cuatrimestre","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
565,"1 (Ene-Mar)",96,24,58,27
1391,"4 (Oct-Dic)",96,31,51,24
3441,"3 (Jul-Sep)",80,28,60,17
3165,"1 (Ene-Mar)",81,30,64,25
3499,"1 (Ene-Mar)",105,36,44,24
3170,"2 (Abr-Jun)",69,22,57,22
1975,"3 (Jul-Sep)",134,35,60,30
1973,"4 (Oct-Dic)",122,33,64,26
1071,"3 (Jul-Sep)",150,35,68,34
2009,"4 (Oct-Dic)",81,27,61,21
3431,"2 (Abr-Jun)",113,30,63,26
3226,"2 (Abr-Jun)",109,30,45,19
1176,"3 (Jul-Sep)",64,22,53,21
3207,"3 (Jul-Sep)",100,32,65,25
3234,"3 (Jul-Sep)",81,25,55,22
3472,"3 (Jul-Sep)",108,25,59,24
3495,"4 (Oct-Dic)",76,22,53,21
3286,"4 (Oct-Dic)",65,15,39,17
3395,"4 (Oct-Dic)",143,24,72,31
2008,"1 (Ene-Mar)",78,27,59,21
2091,"2 (Abr-Jun)",85,34,61,29
2107,"2 (Abr-Jun)",73,30,71,24
2093,"2 (Abr-Jun)",105,34,65,30
2101,"2 (Abr-Jun)",69,29,41,18
2089,"2 (Abr-Jun)",89,31,63,29
2094,"2 (Abr-Jun)",79,29,58,29
2096,"2 (Abr-Jun)",93,34,61,31
2106,"3 (Jul-Sep)",58,22,57,18
1990,"2 (Abr-Jun)",79,25,61,21
349,"1 (Ene-Mar)",68,15,53,20
1167,"3 (Jul-Sep)",69,20,57,23
285,"1 (Ene-Mar)",62,23,54,23
541,"2 (Abr-Jun)",69,22,56,20
553,"2 (Abr-Jun)",129,36,67,34
546,"4 (Oct-Dic)",97,30,58,31
543,"4 (Oct-Dic)",70,22,57,21
548,"4 (Oct-Dic)",106,32,58,31
538,"1 (Ene-Mar)",57,19,53,19
547,"1 (Ene-Mar)",44,10,32,16
709,"4 (Oct-Dic)",111,30,77,32
1404,"4 (Oct-Dic)",58,25,61,27
53,"3 (Jul-Sep)",61,23,54,26
1971,"4 (Oct-Dic)",82,27,66,25
2081,"1 (Ene-Mar)",100,27,62,29
1440,"2 (Abr-Jun)",63,23,50,19
990,"4 (Oct-Dic)",78,27,71,29
2617,"3 (Jul-Sep)",106,34,73,31
2360,"1 (Ene-Mar)",125,32,77,34
1805,"2 (Abr-Jun)",103,25,63,25
1354,"2 (Abr-Jun)",73,21,55,19
2398,"2 (Abr-Jun)",124,34,66,33
1394,"2 (Abr-Jun)",92,29,60,24
3081,"1 (Ene-Mar)",122,33,62,30
1002,"2 (Abr-Jun)",56,17,48,18
81,"2 (Abr-Jun)",112,36,71,25
1209,"2 (Abr-Jun)",99,25,62,25
1113,"2 (Abr-Jun)",46,15,46,18
356,"1 (Ene-Mar)",79,20,49,21
2805,"1 (Ene-Mar)",126,32,66,29
2594,"2 (Abr-Jun)",41,23,41,12
1389,"2 (Abr-Jun)",110,27,61,28
2356,"2 (Abr-Jun)",71,26,55,23
771,"2 (Abr-Jun)",93,19,56,22
264,"2 (Abr-Jun)",101,26,62,29
826,"2 (Abr-Jun)",80,26,56,21
954,"2 (Abr-Jun)",86,27,64,30
784,"2 (Abr-Jun)",82,23,47,24
