"Código","Región","Escala_Cog.","Escala_Mot.","Escala_Dis."
487,"Sierra",47,30,29
2011,"Selva",78,32,28
1579,"Selva",60,19,21
3103,"Costa",76,32,25
1130,"Selva",36,24,17
1681,"Selva",74,30,36
1428,"Sierra",68,21,23
1502,"Selva",85,25,23
175,"Sierra",32,13,15
210,"Selva",71,27,22
3500,"Costa",88,23,36
2553,"Sierra",81,29,24
2421,"Sierra",43,19,17
441,"Costa",33,13,16
209,"Selva",71,23,22
1569,"Selva",58,21,22
663,"Selva",73,27,34
2482,"Costa",53,19,23
1824,"Selva",58,27,31
144,"Sierra",62,18,31
1718,"Sierra",52,20,16
3393,"Costa",72,21,27
276,"Sierra",60,26,22
1268,"Sierra",87,34,26
1132,"Selva",40,27,28
2552,"Sierra",80,31,23
1905,"Selva",70,31,31
1687,"Selva",66,34,36
2023,"Selva",48,21,29
2299,"Costa",117,45,36
202,"Sierra",70,16,23
2034,"Selva",52,21,19
2996,"Costa",61,31,24
1501,"Selva",61,24,23
889,"Sierra",44,19,15
2437,"Costa",38,21,16
1894,"Costa",57,21,21
1567,"Sierra",58,24,18
176,"Sierra",38,20,20
1337,"Selva",33,13,24
630,"Costa",66,28,26
2484,"Costa",58,28,24
515,"Sierra",55,22,32
1898,"Selva",57,29,22
118,"Selva",72,23,21
519,"Sierra",32,16,17
1048,"Selva",86,31,26
1731,"Costa",48,16,23
73,"Costa",25,14,19
2418,"Sierra",44,14,16
2861,"Costa",94,35,33
2039,"Selva",49,21,17
1348,"Selva",45,13,21
2879,"Costa",121,36,33
496,"Sierra",44,19,31
1985,"Sierra",39,22,15
653,"Selva",72,27,29
1995,"Sierra",82,30,25
2433,"Sierra",73,20,26
2876,"Costa",108,35,33
112,"Costa",29,16,21
443,"Costa",42,17,17
43,"Costa",25,15,20
2043,"Selva",77,30,20
2877,"Costa",118,37,35
594,"Sierra",33,18,16
593,"Sierra",36,16,14
1981,"Selva",46,25,24
1565,"Selva",61,21,22
3144,"Costa",41,10,22
2300,"Costa",66,36,30
2001,"Sierra",54,20,21
241,"Selva",61,21,21
1169,"Selva",34,26,21
